what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1376896082872
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1376896082872
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1376896082919
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1376896082919
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1376896082919
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1376896082919
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1376896082951
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1376896082951
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1376896083029
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1376896083029
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1376896083091
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1376896083169
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1376896083185
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1376896083232
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1376896083294
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1376896083310
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1376896083310
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1376896083357
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1376896083404
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1376896083404
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1376896083404
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1376896083435
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1376896083482
os,sysinfo,,,"win32",1376896083482
arch,sysinfo,,,"x86",1376896083482
ws,sysinfo,,,"win32",1376896083482
locale,sysinfo,,,"en_US",1376896083482
processors,sysinfo,,,"2",1376896083482
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1376896083482
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1376896083482
java.specification.name,sysinfo,,,"Java Platform API Specification",1376896083482
java.specification.vendor,sysinfo,,,"Oracle Corporation",1376896083482
java.specification.version,sysinfo,,,"1.7",1376896083482
java.vendor,sysinfo,,,"Oracle Corporation",1376896083482
java.version,sysinfo,,,"1.7.0_21",1376896083482
java.vm.info,sysinfo,,,"mixed mode",1376896083482
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1376896083482
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1376896083482
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1376896083482
java.vm.specification.version,sysinfo,,,"1.7",1376896083482
java.vm.vendor,sysinfo,,,"Oracle Corporation",1376896083482
java.vm.version,sysinfo,,,"23.21-b01",1376896083482
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1376896083498
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1376896083576
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1376896085029
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1376896085201
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1376896085263
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1376896085779
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1376896086920
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1376896087342
