Total RAM: 16649436 KB
Free RAM: 4425784 KB
Used RAM: 12223652 KB
Processes:
PID: 3548, Process Name: <unknown>, Username: DESKTOP-S4MLJHQ\Admin, CPU: 2000ms, Memory: 2192 KB
PID: 11680, Process Name: SynTPEnh.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 296ms, Memory: 19032 KB
PID: 18764, Process Name: sihost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 4125ms, Memory: 29460 KB
PID: 3024, Process Name: svchost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 24703ms, Memory: 28636 KB
PID: 6340, Process Name: svchost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 15ms, Memory: 9076 KB
PID: 21852, Process Name: svchost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 3984ms, Memory: 36948 KB
PID: 26036, Process Name: igfxEM.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 140ms, Memory: 14248 KB
PID: 1664, Process Name: taskhostw.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 2046ms, Memory: 20756 KB
PID: 2740, Process Name: Explorer.EXE, Username: DESKTOP-S4MLJHQ\Admin, CPU: 96328ms, Memory: 170600 KB
PID: 24744, Process Name: svchost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 734ms, Memory: 23996 KB
PID: 20968, Process Name: TSVNCache.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 112093ms, Memory: 14796 KB
PID: 13636, Process Name: RuntimeBroker.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 156ms, Memory: 9608 KB
PID: 14068, Process Name: RuntimeBroker.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1796ms, Memory: 30644 KB
PID: 20832, Process Name: RuntimeBroker.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 5343ms, Memory: 42176 KB
PID: 24528, Process Name: TextInputHost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 2046ms, Memory: 46248 KB
PID: 23860, Process Name: SearchApp.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 23015ms, Memory: 105472 KB
PID: 21112, Process Name: ms-teams.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 28687ms, Memory: 37060 KB
PID: 18500, Process Name: openvpn-gui.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 15ms, Memory: 8368 KB
PID: 6652, Process Name: msedgewebview2.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 90546ms, Memory: 75192 KB
PID: 17012, Process Name: msedgewebview2.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 0ms, Memory: 7356 KB
PID: 24184, Process Name: msedgewebview2.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 139453ms, Memory: 61848 KB
PID: 21804, Process Name: msedgewebview2.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 7625ms, Memory: 15944 KB
PID: 19812, Process Name: msedgewebview2.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1046ms, Memory: 6268 KB
PID: 16076, Process Name: msedgewebview2.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1390ms, Memory: 7612 KB
PID: 6892, Process Name: msedgewebview2.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1460187ms, Memory: 451404 KB
PID: 3344, Process Name: sfproc.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 36390ms, Memory: 123964 KB
PID: 15452, Process Name: crashpad_handler.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 15ms, Memory: 7540 KB
PID: 25012, Process Name: DllHost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 218ms, Memory: 13840 KB
PID: 11320, Process Name: ms-teams.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1964593ms, Memory: 22056 KB
PID: 19036, Process Name: SmartAudio3.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 11015ms, Memory: 56944 KB
