Total RAM: 16649436 KB
Free RAM: 5087248 KB
Used RAM: 11562188 KB
Processes:
PID: 3548, Process Name: <unknown>, Username: DESKTOP-S4MLJHQ\Admin, CPU: 2250ms, Memory: 4788 KB
PID: 11680, Process Name: SynTPEnh.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 296ms, Memory: 19064 KB
PID: 18764, Process Name: sihost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 4296ms, Memory: 29556 KB
PID: 3024, Process Name: svchost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 26906ms, Memory: 28984 KB
PID: 6340, Process Name: svchost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 15ms, Memory: 8888 KB
PID: 21852, Process Name: svchost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 4109ms, Memory: 37532 KB
PID: 26036, Process Name: igfxEM.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 140ms, Memory: 13848 KB
PID: 1664, Process Name: taskhostw.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 2203ms, Memory: 21264 KB
PID: 2740, Process Name: Explorer.EXE, Username: DESKTOP-S4MLJHQ\Admin, CPU: 115578ms, Memory: 193448 KB
PID: 24744, Process Name: svchost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 765ms, Memory: 24092 KB
PID: 20968, Process Name: TSVNCache.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 112250ms, Memory: 15732 KB
PID: 13636, Process Name: RuntimeBroker.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 171ms, Memory: 11216 KB
PID: 14068, Process Name: RuntimeBroker.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1796ms, Memory: 29604 KB
PID: 20832, Process Name: RuntimeBroker.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 5656ms, Memory: 46036 KB
PID: 24528, Process Name: TextInputHost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 2171ms, Memory: 46312 KB
